Account Tier,Rank,Company name,Company domain name,LinkedIn Company Page,Country/Region,City,Number of Employees,Annual Revenue (est.),Industry/Category,Market,Enrichment needed
Top 50,27,UnionCoop,unioncoop.ae,https://www.linkedin.com/company/unioncooperative,United Arab Emirates,,1K-5K,,,GCC,"revenue, category, city"
Top 50,28,Vedant Fashions (Manyavar-Mohey),vedantfashions.com,https://www.linkedin.com/company/vedant-fashions-limited,India,Kolkata,1K-5K,124.7M,,India,category
Top 50,29,Wellness Forever Medicare Limited,wellnessforever.com,https://www.linkedin.com/company/wellness-forever,India,Mumbai,1K-5K,$1B+,B2B,India,
Top 50,30,Woodland,woodlandworldwide.com,https://www.linkedin.com/company/woodland,India,New Delhi,1K-5K,$100M-$250M,Apparel & Footwear,India,
Top 50,31,Ajanta Shoes,ajantashoes.com,https://www.linkedin.com/company/ajanta,India,Kolkata,251-1K,,,India,"revenue, category"
Top 50,32,Alaincoop,adcoop.com,https://www.linkedin.com/company/adcoopuae,United Arab Emirates,Al Ain,251-1K,$500M-$1B,Enterprise,GCC,
Top 50,33,Al Dhafra Co-operative Society,adcs.ae,https://www.linkedin.com/company/aldhafra-cooperative-society,United Arab Emirates,,251-1K,$10M-$25M,B2B,GCC,city
Top 50,34,Al Faisaliah Medical Systems Co,alfaisaliah.com,https://www.linkedin.com/company/al-faisaliah-group-jsc-,Saudi Arabia,Riyadh,251-1K,$1B+,B2C,GCC,
Top 50,35,Alghanim Industries - Food & Beverage,alghanim.com,https://www.linkedin.com/company/alghanim-industries---food-and-beverage,Kuwait,,251-1K,,,GCC,"revenue, category, city"
Top 50,36,Al Haramain Perfumes,alharamainperfumes.com,https://www.linkedin.com/company/alharamain,United Arab Emirates,Dubai,251-1K,,,GCC,"revenue, category"
Top 50,37,Al Huzaifa Furniture,alhuzaifa.com,https://www.linkedin.com/company/al-huzaifa-furniture,United Arab Emirates,,251-1K,,Home & Furniture,GCC,"revenue, city"
Top 50,38,Al Moajil Hospitality,almoajilhospitality.com,https://www.linkedin.com/company/al-moajil-hospitality,Saudi Arabia,Khobar,251-1K,$10M-$25M,B2C,GCC,
Top 50,39,Al Rashid Group (Landmark),landmarkgroup.com,https://www.linkedin.com/company/landmark-group,Bahrain,Manama,251-1K,$1B+,B2C,GCC,
Top 50,40,Al Sadhan Stores,al-sadhan.com,https://www.linkedin.com/company/al-sadhan-trading,Saudi Arabia,Riyadh,251-1K,$50M-$100M,Consumer Goods,GCC,
Top 50,41,Al Safa Group (The Beauty Secrets),thebeautysecrets.co,https://www.linkedin.com/company/al-safa-group-the-beauty-secrets-,Saudi Arabia,Riyadh,251-1K,$100M-$250M,Cosmetics,GCC,
Top 50,42,Al Zain Jewellery,alzainjewellery.com,https://www.linkedin.com/company/alzainjewellery,Bahrain,Manama,251-1K,$10M-$25M,B2C,GCC,
Top 50,43,Ambrane India,ambraneindia.com,https://www.linkedin.com/company/ambrane-india,India,New Delhi,251-1K,$10M-$25M,Audio,India,
Top 50,44,AMPM,ampm.in,https://www.linkedin.com/company/ampm-fashions-private-limited,India,Noida,251-1K,$10M-$25M,Apparel & Footwear,India,
Top 50,45,aswaaq Retail LLC,aswaaq.ae,https://www.linkedin.com/company/aswaaq-llc,United Arab Emirates,,251-1K,$100M-$250M,Beverages,GCC,city
Top 50,46,Azure Hospitality Pvt Ltd,azurehospitality.com,https://www.linkedin.com/company/azurehospitality,India,New Delhi,251-1K,$10M-$25M,Food,India,
Top 50,47,Baggit India Pvt Ltd,baggit.com,https://www.linkedin.com/company/baggit-india,India,Mumbai,251-1K,$1M-$10M,Apparel & Footwear,India,
Top 50,48,Barakat,barakatgroup.ae,https://www.linkedin.com/company/barakatgroupofcompanies,United Arab Emirates,Dubai,251-1K,$250M-$500M,Consumer Goods,GCC,
Top 50,49,Biggies Burger,biggiesburger.com,https://www.linkedin.com/company/biggiesburger,India,Bengaluru,251-1K,$10M-$25M,Food,India,
Top 50,50,BinHendi Enterprises,binhendi.com,https://www.linkedin.com/company/binhendienterprises,United Arab Emirates,,251-1K,$100M-$250M,Retail,GCC,city
Next 200,51,BMA International FZE,bmainternationalgroup.com,https://www.linkedin.com/company/bma-international-fze,United Arab Emirates,Dubai,251-1K,$50M-$100M,B2B,GCC,
Next 200,52,BONJOUR,bonjourretail.com,https://www.linkedin.com/company/bonjour-group,India,Noida,251-1K,$50M-$100M,Apparel & Footwear,India,
Next 200,53,Bonkers Corner,bonkerscorner.com,https://www.linkedin.com/company/bonkers-corner,India,Thane,251-1K,$1M-$10M,Apparel & Footwear,India,
Next 200,54,BORK,bork.ae,https://www.linkedin.com/company/bork-company,United Arab Emirates,,251-1K,,,GCC,"revenue, category, city"
Next 200,55,Bulldozer Hospitality Group,bulldozergroup.co,https://www.linkedin.com/company/bulldozergroup,United Arab Emirates,,251-1K,,Retail,GCC,"revenue, city"
Next 200,56,Burger Singh - Made in India,burgersinghonline.com,https://www.linkedin.com/company/burger-singh-pvt-ltd,India,Gurgaon,251-1K,,,India,"revenue, category"
Next 200,57,Burma Burma Restaurant & Tea Room,burmaburma.in,https://www.linkedin.com/company/burma-burma-restaurant-tea-room,India,Mumbai,251-1K,,,India,"revenue, category"
Next 200,58,Campus Activewear Ltd,campusactivewear.com,https://www.linkedin.com/company/campus-activewear-pvt-ltd,India,New Delhi,251-1K,$100M-$250M,Apparel & Footwear,India,
Next 200,59,Campus Sutra,campussutra.com,https://www.linkedin.com/company/campus-sutra,India,Bengaluru,251-1K,$10M-$25M,Apparel & Footwear,India,
Next 200,60,Chaayos,chaayos.com,https://www.linkedin.com/company/chaayos-restaurant,India,Noida,251-1K,$10M-$25M,Restaurants,India,
Next 200,61,City Hypermarket,cityhyper.com,https://www.linkedin.com/company/city-hypermarket,Kuwait,,251-1K,,,GCC,"revenue, category, city"
Next 200,62,Classic Polo,classicpolos.com,https://www.linkedin.com/company/classicpolo,India,Tiruppur,251-1K,$100M-$250M,Apparel & Footwear,India,
Next 200,63,DLF Malls,dlf.in,https://www.linkedin.com/company/dlf-emporio-stores,India,Gurgaon,251-1K,,Real Estate,India,revenue
Next 200,64,Dollar Industries Ltd,dollarglobal.in,https://www.linkedin.com/company/dollarglobal,India,Kolkata,251-1K,$50M-$100M,Apparel & Footwear,India,
Next 200,65,Ecity Electronics,ecityuae.ae,https://www.linkedin.com/company/e-city-general-trading-llc,United Arab Emirates,,251-1K,,,GCC,"revenue, category, city"
Next 200,66,Faisal Al Rasheed Group (ALNASSER),alnasser.net,https://www.linkedin.com/company/nasser-sports-centre,Kuwait,,251-1K,$100M-$250M,B2C,GCC,city
Next 200,67,Farzana,farzana.com,https://www.linkedin.com/company/farzana-trading,United Arab Emirates,,251-1K,$50M-$100M,Consumer Goods,GCC,city
Next 200,68,FMART Group International,fmart.ae,https://www.linkedin.com/company/fmartretails,United Arab Emirates,,251-1K,,,GCC,"revenue, category, city"
Next 200,69,FoodFund International,foodfundint.com,https://www.linkedin.com/company/foodfund-international,United Arab Emirates,Dubai,251-1K,$50M-$100M,Food,GCC,
Next 200,70,Gala,galamarkets.com,https://www.linkedin.com/company/mygalastores,United Arab Emirates,Sharjah,251-1K,$10M-$25M,Retail,GCC,
Next 200,71,Geekay Group,geekaygroupmea.com,https://www.linkedin.com/company/geekay-games,United Arab Emirates,,251-1K,,,GCC,"revenue, category, city"
Next 200,72,Go Colors (Go Fashion India),gocolors.com,https://www.linkedin.com/company/gocolors,India,Chennai,251-1K,$100M-$250M,Apparel & Footwear,India,
Next 200,73,Good Earth,goodearth.in,https://www.linkedin.com/company/goodearth-design-studio-pvt-ltd,India,New Delhi,251-1K,$50M-$100M,B2C,India,
Next 200,74,Good Flippin' Burgers,goodflippin.com,https://www.linkedin.com/company/good-flippin-food-pvt-ltd,India,Mumbai,251-1K,,,India,"revenue, category"
Next 200,75,Gourmet Gulf LLC,gourmetgulf.com,https://www.linkedin.com/company/gourmet-gulf-llc,United Arab Emirates,Dubai,251-1K,$100M-$250M,B2C,GCC,
